ColorScheme	A	R	N	D	C	Q	E	G	H	I	L	K	M	F	P	S	T	W	Y	V	B	X	Z	J	O	U	-
Clustal	#80A0F0	#F01505	#00FF00	#C048C0	#F08080	#00FF00	#C048C0	#F09048	#15A4A4	#80A0F0	#80A0F0	#F01505	#80A0F0	#80A0F0	#FFFF00	#00FF00	#00FF00	#80A0F0	#15A4A4	#80A0F0	#FFFFFF	#FFFFFF	#FFFFFF	#FFFFFF	#FFFFFF	#FFFFFF	#FFFFFF
Zappo	#FFAFAF	#6464FF	#00FF00	#FF0000	#FFFF00	#00FF00	#FF0000	#FF00FF	#6464FF	#FFAFAF	#FFAFAF	#6464FF	#FFAFAF	#FFC800	#FF00FF	#00FF00	#00FF00	#FFC800	#FFC800	#FFAFAF	#FFFFFF	#FFFFFF	#FFFFFF	#FFFFFF	#FFFFFF	#FFFFFF	#FFFFFF
Taylor	#CCFF00	#0000FF	#CC00FF	#FF0000	#FFFF00	#FF00CC	#FF0066	#FF9900	#0066FF	#66FF00	#33FF00	#6600FF	#00FF00	#00FF66	#FFCC00	#FF3300	#FF6600	#00CCFF	#00FFCC	#99FF00	#FFFFFF	#FFFFFF	#FFFFFF	#FFFFFF	#FFFFFF	#FFFFFF	#FFFFFF
Flower	#B18A51	#83BFF1	#38CEC6	#29A578	#F85604	#7295AE	#2DA0A1	#B1C23C	#2E94F9	#F27663	#DF6E75	#7FC3D7	#FA9DB0	#F9559D	#4FA32A	#B4BD9B	#D2B576	#F92CED	#C96ECF	#FA997B	#FFFFFF	#FFFFFF	#FFFFFF	#FFFFFF	#FFFFFF	#FFFFFF	#FFFFFF
Blossom	#8BC4B4	#F99504	#B5C207	#5FA504	#2E93FE	#BF8526	#DBB501	#36D382	#F85604	#9ABAF3	#CDA5DC	#FAA527	#F5A1B8	#F74FA8	#35D631	#7E9D59	#2AA39B	#F907FB	#F84E7A	#87C0E4	#FFFFFF	#FFFFFF	#FFFFFF	#FFFFFF	#FFFFFF	#FFFFFF	#FFFFFF
Sunset	#FBA0FD	#85746A	#ABC8F4	#2E7BBE	#F90BFE	#8C6E81	#677892	#3099FF	#DBC58E	#F821A1	#E01E82	#DEBECC	#D13E7B	#F8375D	#5766F9	#E7B4FD	#A658B7	#F83704	#CB5339	#F951B8	#FFFFFF	#FFFFFF	#FFFFFF	#FFFFFF	#FFFFFF	#FFFFFF	#FFFFFF
Ocean	#C6CA9B	#2BA0A8	#3DDFC3	#4CDFA1	#C68136	#8BD3D1	#60DAC9	#33A551	#3CCFFE	#F2BAAA	#BB8A83	#40A090	#A48B88	#AB88AF	#AFD364	#6D9B74	#8D9566	#758AEE	#BAC3FC	#E9BEA4	#FFFFFF	#FFFFFF	#FFFFFF	#FFFFFF	#FFFFFF	#FFFFFF	#FFFFFF
Hydrophobicity	#AD0052	#0000FF	#0C00F3	#0C00F3	#C2003D	#0C00F3	#0C00F3	#6A0095	#1500EA	#FF0000	#EA0015	#0000FF	#B0004F	#CB0034	#4600B9	#5E00A1	#61009E	#5B00A4	#4F00B0	#F60009	#0C00F3	#680097	#0C00F3	#FFFFFF	#FFFFFF	#FFFFFF	#FFFFFF
HelixPropensity	#E718E7	#6F906F	#39E41A	#778877	#37DC23	#926D92	#F905FF	#41FF00	#758A75	#8A758A	#AE51AE	#A05FA0	#EF10EF	#986798	#41FF00	#36C936	#47B847	#8A758A	#38DE20	#857A85	#49B649	#758A75	#C936C9	#FFFFFF	#FFFFFF	#FFFFFF	#FFFFFF
StrandPropensity	#5858A7	#6B6B94	#64649C	#2121DE	#9D9D62	#8C8C73	#1D00FF	#4949B6	#60609F	#ECEC14	#B2B24D	#4747B8	#82827D	#C2C23C	#2323DB	#4949B6	#9D9D62	#C0C03E	#D3D32C	#FEFF03	#4343BC	#797986	#4747B8	#FFFFFF	#FFFFFF	#FFFFFF	#FFFFFF
